title,author,url
Implementation of Sensing and Actuation Capabilities for IoT Devices Using oneM2M Platforms,Jaeseok Yun   Il-Yeup Ahn   JaeSeung Song   Jaeho Kim,/pmc/articles/PMC6832411/
TTEO (Things Talk to Each Other): Programming Smart Spaces Based on IoT Systems,Jaeseok Yun   Il-Yeup Ahn   Sung-Chan Choi   Jaeho Kim,/pmc/articles/PMC4850981/
Building IoT Services for Aging in Place Using Standard-Based IoT Platforms and Heterogeneous IoT Products,Sheik Mohammad Mostakim Fattah   Nak-Myoung Sung   Il-Yeup Ahn   Minwoo Ryu   Jaeseok Yun,/pmc/articles/PMC5677444/
IoT-Based Smart Irrigation Systems: An Overview on the Recent Trends on Sensors and IoT Systems for Irrigation in Precision Agriculture,Laura García   Lorena Parra   Jose M. Jimenez   Jaime Lloret   Pascal Lorenz,/pmc/articles/PMC7070544/
An Approach to Share Self-Taught Knowledge between Home IoT Devices at the Edge ,Ingook Jang   Donghun Lee   Jinchul Choi   Youngsung Son,/pmc/articles/PMC6412385/
Narrowband Internet of Things (NB-IoT): From Physical (PHY) and Media Access Control (MAC) Layers Perspectives,Collins Burton Mwakwata   Hassan Malik   Muhammad Mahtab Alam   Yannick Le Moullec   Sven Parand   Shahid Mumtaz,/pmc/articles/PMC6603562/
From WSN towards WoT: Open API Scheme Based on oneM2M Platforms,Jaeho Kim   Sung-Chan Choi   Il-Yeup Ahn   Nak-Myoung Sung   Jaeseok Yun,/pmc/articles/PMC5087433/
Internet of Things (IoT): Opportunities   issues and challenges towards a smart and sustainable future,Sandro Nižetić   Petar Šolić   Diego López-de-Ipiña González-de-Artaza   Luigi Patrono,/pmc/articles/PMC7368922/
The Art of Designing Remote IoT Devices—Technologies and Strategies for a Long Battery Life,Gilles Callebaut   Guus Leenders   Jarne Van Mulders   Geoffrey Ottoy   Lieven De Strycker   Liesbet Van der Perre,/pmc/articles/PMC7866251/
A Systematic Review of IoT Solutions for Smart Farming,Emerson Navarro   Nuno Costa   António Pereira,/pmc/articles/PMC7436012/
A Proof-of-Concept for Semantically Interoperable Federation of IoT Experimentation Facilities,Jorge Lanza   Luis Sanchez   David Gomez   Tarek Elsaleh   Ronald Steinke   Flavio Cirillo,/pmc/articles/PMC4970056/
Knowledge growth and development: internet of things (IoT) research   2006–2018,M. Dachyar   Teuku Yuri M. Zagloel   L. Ranjaliba Saragih,/pmc/articles/PMC6728422/
Edge-Computing Architectures for Internet of Things Applications: A Survey,Salam Hamdan   Moussa Ayyash   Sufyan Almajali,/pmc/articles/PMC7696529/
IMSC-EIoTD: Identity Management and Secure Communication for Edge IoT Devices,Kazi Masum Sadique   Rahim Rahmani   Paul Johannesson,/pmc/articles/PMC7696764/
Teaching and Learning IoT Cybersecurity and Vulnerability Assessment with Shodan through Practical Use Cases,Tiago M. Fernández-Caramés   Paula Fraga-Lamas,/pmc/articles/PMC7309102/
Intuitive Development to Examine Collaborative IoT Supply Chain System Underlying Privacy and Security Levels and Perspective Powering through Proactive Blockchain,Aamir Shahzad   Kaiwen Zhang   Abdelouahed Gherbi,/pmc/articles/PMC7374363/
End-to-End QoS “Smart Queue” Management Algorithms and Traffic Prioritization Mechanisms for Narrow-Band Internet of Things Services in 4G/5G Networks,Mykola Beshley   Natalia Kryvinska   Marian Seliuchenko   Halyna Beshley   Elhadi M. Shakshuki   Ansar-Ul-Haque Yasar,/pmc/articles/PMC7219668/
An IoT Platform Based on Microservices and Serverless Paradigms for Smart Farming Purposes,Sergio Trilles   Alberto González-Pérez   Joaquín Huerta,/pmc/articles/PMC7219504/
Detecting IoT User Behavior and Sensitive Information in Encrypted IoT-App Traffic,Alanoud Subahi   George Theodorakopoulos,/pmc/articles/PMC6864459/
IoT Elements   Layered Architectures and Security Issues: A Comprehensive Survey,Muhammad Burhan   Rana Asif Rehman   Bilal Khan   Byung-Seo Kim,/pmc/articles/PMC6165453/
