title,author,url,abstract
Recent Advances in Internet of Things (IoT) Infrastructures for Building Energy Systems: A Review ,Wahiba Yaïci   Karthik Krishnamurthy   Evgueniy Entchev   Michela Longo,/pmc/articles/PMC8003568/,This paper summarises a literature review on the applications of Internet of Things (IoT) with the aim of enhancing building energy use and reducing greenhouse gas emissions (GHGs). A detailed assessment of contemporary practical reviews and works was conducted to understand how different IoT systems and technologies are being developed to increase energy efficiencies in both residential and commercial buildings. Most of the reviewed works were invariably related to the dilemma of efficient heating systems in buildings. Several features of the central components of IoT   namely   the hardware and software needed for building controls   are analysed. Common design factors across the many IoT systems comprise the selection of sensors and actuators and their powering techniques   control strategies for collecting information and activating appliances   monitoring of actual data to forecast prospect energy consumption and communication methods amongst IoT components. Some building energy applications using IoT are provided. It was found that each application presented has the potential for significant energy reduction and user comfort improvement. This is confirmed in two case studies summarised   which report the energy savings resulting from implementing IoT systems. Results revealed that a few elements are user-specific that need to be considered in the decision processes. Last   based on the studies reviewed   a few aspects of prospective research were recommended.
Machine Learning for Authentication and Authorization in IoT: Taxonomy   Challenges and Future Research Direction,Kazi Istiaque Ahmed   Mohammad Tahir   Mohamed Hadi Habaebi   Sian Lun Lau   Abdul Ahad,/pmc/articles/PMC8347961/,With the ongoing efforts for widespread Internet of Things (IoT) adoption   one of the key factors hindering the wide acceptance of IoT is security. Securing IoT networks such as the electric power grid or water supply systems has emerged as a major national and global priority. To address the security issue of IoT   several studies are being carried out that involve the use of   but are not limited to   blockchain   artificial intelligence   and edge/fog computing. Authentication and authorization are crucial aspects of the CIA triad to protect the network from malicious parties. However   existing authorization and authentication schemes are not sufficient for handling security   due to the scale of the IoT networks and the resource-constrained nature of devices. In order to overcome challenges due to various constraints of IoT networks   there is a significant interest in using machine learning techniques to assist in the authentication and authorization process for IoT. In this paper   recent advances in authentication and authorization techniques for IoT networks are reviewed. Based on the review   we present a taxonomy of authentication and authorization schemes in IoT focusing on machine learning-based schemes. Using the presented taxonomy   a thorough analysis is provided of the authentication and authorization (AA) security threats and challenges for IoT. Furthermore   various criteria to achieve a high degree of AA resiliency in IoT implementations to enhance IoT security are evaluated. Lastly   a detailed discussion on open issues   challenges   and future research directions is presented for enabling secure communication among IoT nodes.
Impact of COVID-19 on IoT Adoption in Healthcare   Smart Homes   Smart Buildings   Smart Cities   Transportation and Industrial IoT,Muhammad Umair   Muhammad Aamir Cheema   Omer Cheema   Huan Li   Hua Lu,/pmc/articles/PMC8199516/,COVID-19 has disrupted normal life and has enforced a substantial change in the policies   priorities and activities of individuals   organisations and governments. These changes are proving to be a catalyst for technology and innovation. In this paper   we discuss the pandemic’s potential impact on the adoption of the Internet of Things (IoT) in various broad sectors   namely healthcare   smart homes   smart buildings   smart cities   transportation and industrial IoT. Our perspective and forecast of this impact on IoT adoption is based on a thorough research literature review   a careful examination of reports from leading consulting firms and interactions with several industry experts. For each of these sectors   we also provide the details of notable IoT initiatives taken in the wake of COVID-19. We also highlight the challenges that need to be addressed and important research directions that will facilitate accelerated IoT adoption.
Implementation of Sensing and Actuation Capabilities for IoT Devices Using oneM2M Platforms,Jaeseok Yun   Il-Yeup Ahn   JaeSeung Song   Jaeho Kim,/pmc/articles/PMC6832411/,In this paper   we present an implementation work of sensing and actuation capabilities for IoT devices using the oneM2M standard-based platforms. We mainly focus on the heterogeneity of the hardware interfaces employed in IoT devices. For IoT devices (i.e.   Internet-connected embedded systems) to perform sensing and actuation capabilities in a standardized manner   a well-designed middleware solution will be a crucial part of IoT platform. Accordingly   we propose an oneM2M standard-based IoT platform (called nCube) incorporated with a set of tiny middleware programs (called TAS) responsible for translating sensing values and actuation commands into oneM2M-defined resources accessible in Web-based applications. All the source codes for the oneM2M middleware platform and smartphone application are available for free in the GitHub repositories. The full details on the implementation work and open-source contributions are described.
TTEO (Things Talk to Each Other): Programming Smart Spaces Based on IoT Systems,Jaeseok Yun   Il-Yeup Ahn   Sung-Chan Choi   Jaeho Kim,/pmc/articles/PMC4850981/,The Internet of Things allows things in the world to be connected to each other and enables them to automate daily tasks without human intervention   eventually building smart spaces. This article demonstrates a prototype service based on the Internet of Things   TTEO (Things Talk to Each Other). We present the full details on the system architecture and the software platforms for IoT servers and devices   called Mobius and &Cube   respectively   complying with the globally-applicable IoT standards   oneM2M   a unique identification scheme for a huge number of IoT devices   and service scenarios with an intuitive smartphone app. We hope that our approach will help developers and lead users for IoT devices and application services to establish an emerging IoT ecosystem   just like the ecosystem for smartphones and mobile applications.
IoT-Based Smart Irrigation Systems: An Overview on the Recent Trends on Sensors and IoT Systems for Irrigation in Precision Agriculture,Laura García   Lorena Parra   Jose M. Jimenez   Jaime Lloret   Pascal Lorenz,/pmc/articles/PMC7070544/,Water management is paramount in countries with water scarcity. This also affects agriculture   as a large amount of water is dedicated to that use. The possible consequences of global warming lead to the consideration of creating water adaptation measures to ensure the availability of water for food production and consumption. Thus   studies aimed at saving water usage in the irrigation process have increased over the years. Typical commercial sensors for agriculture irrigation systems are very expensive   making it impossible for smaller farmers to implement this type of system. However   manufacturers are currently offering low-cost sensors that can be connected to nodes to implement affordable systems for irrigation management and agriculture monitoring. Due to the recent advances in IoT and WSN technologies that can be applied in the development of these systems   we present a survey aimed at summarizing the current state of the art regarding smart irrigation systems. We determine the parameters that are monitored in irrigation systems regarding water quantity and quality   soil characteristics and weather conditions. We provide an overview of the most utilized nodes and wireless technologies. Lastly   we will discuss the challenges and the best practices for the implementation of sensor-based irrigation systems.
Building IoT Services for Aging in Place Using Standard-Based IoT Platforms and Heterogeneous IoT Products,Sheik Mohammad Mostakim Fattah   Nak-Myoung Sung   Il-Yeup Ahn   Minwoo Ryu   Jaeseok Yun,/pmc/articles/PMC5677444/,An aging population and human longevity is a global trend. Many developed countries are struggling with the yearly increasing healthcare cost that dominantly affects their economy. At the same time   people living with old adults suffering from a progressive brain disorder such as Alzheimer’s disease are enduring even more stress and depression than those patients while caring for them. Accordingly   seniors’ ability to live independently and comfortably in their current home for as long as possible has been crucial to reduce the societal cost for caregiving and thus give family members peace of mind   called ‘aging in place’ (AIP). In this paper we present a way of building AIP services using standard-based IoT platforms and heterogeneous IoT products. An AIP service platform is designed and created by combining previous standard-based IoT platforms in a collaborative way. A service composition tool is also created that allows people to create AIP services in an efficient way. To show practical usability of our proposed system   we choose a service scenario for medication compliance and implement a prototype service which could give old adults medication reminder appropriately at the right time (i.e.   when it is time to need to take pills) through light and speaker at home but also wrist band and smartphone even outside the home.
An Approach to Share Self-Taught Knowledge between Home IoT Devices at the Edge ,Ingook Jang   Donghun Lee   Jinchul Choi   Youngsung Son,/pmc/articles/PMC6412385/,The traditional Internet of Things (IoT) paradigm has evolved towards intelligent IoT applications which exploit knowledge produced by IoT devices using artificial intelligence techniques. Knowledge sharing between IoT devices is a challenging issue in this trend. In this paper   we propose a Knowledge of Things (KoT) framework which enables sharing self-taught knowledge between IoT devices which require similar or identical knowledge without help from the cloud. The proposed KoT framework allows an IoT device to effectively produce   cumulate   and share its self-taught knowledge with other devices at the edge in the vicinity. This framework can alleviate behavioral repetition in users and computational redundancy in systems in intelligent IoT applications. To demonstrate the feasibility of the proposed concept   we examine a smart home case study and build a prototype of the KoT framework-based smart home system. Experimental results show that the proposed KoT framework reduces the response time to use intelligent IoT devices from a user’s perspective and the power consumption for compuation from a system’s perspective.
Narrowband Internet of Things (NB-IoT): From Physical (PHY) and Media Access Control (MAC) Layers Perspectives,Collins Burton Mwakwata   Hassan Malik   Muhammad Mahtab Alam   Yannick Le Moullec   Sven Parand   Shahid Mumtaz,/pmc/articles/PMC6603562/,Narrowband internet of things (NB-IoT) is a recent cellular radio access technology based on Long-Term Evolution (LTE) introduced by Third-Generation Partnership Project (3GPP) for Low-Power Wide-Area Networks (LPWAN). The main aim of NB-IoT is to support massive machine-type communication (mMTC) and enable low-power   low-cost   and low-data-rate communication. NB-IoT is based on LTE design with some changes to meet the mMTC requirements. For example   in the physical (PHY) layer only single-antenna and low-order modulations are supported   and in the Medium Access Control (MAC) layers only one physical resource block is allocated for resource scheduling. The aim of this survey is to provide a comprehensive overview of the design changes brought in the NB-IoT standardization along with the detailed research developments from the perspectives of Physical and MAC layers. The survey also includes an overview of Evolved Packet Core (EPC) changes to support the Service Capability Exposure Function (SCEF) to manage both IP and non-IP data packets through Control Plane (CP) and User Plane (UP)   the possible deployment scenarios of NB-IoT in future Heterogeneous Wireless Networks (HetNet). Finally   existing and emerging research challenges in this direction are presented to motivate future research activities.
Ultrasonic-Based Environmental Perception for Mobile 5G-Oriented XR Applications,Luca Davoli   Ioannis Paraskevopoulos   Cinzia Campanella   Stefano Bauro   Tommaso Vio   Andrea Abrardo   Gianluigi Ferrari,/pmc/articles/PMC7918120/,One of the sectors that is expected to significantly benefit from 5G network deployment is eXtended Reality (XR). Besides the very high bandwidth   reliability   and Quality of Service (QoS) to be delivered to end users   XR also requires accurate environmental perception for safety reasons: this is fundamental when a user   wearing XR equipment   is immersed in a “virtual” world   but moves in a “real” environment. To overcome this limitation (especially when using low-cost XR equipments   such as cardboards worn by the end user)   it is possible to exploit the potentialities offered by Internet of Things (IoT) nodes with sensing/actuating capabilities. In this paper   we rely on ultrasonic sensor-based IoT systems to perceive the surrounding environment and to provide “side information” to XR systems   then performing a preliminary experimental characterization campaign with different ultrasonic IoT system configurations worn by the end user. The combination of the information flows associated with XR and IoT components is enabled by 5G technology. An illustrative experimental scenario   relative to a “Tourism 4.0” IoT-aided VR application deployed by Vodafone in Milan   Italy   is presented.
